id,title,authors,publisher,publication_date,isbn,language,genre,description,price,available,keywords
1,Place level,"Paul Rodriguez PhD, Robert Brown",Chambers-Murphy,1973-09-26,978-1-74076-915-0,German,Mystery,"Daughter class address action. Become view glass their raise.
Huge woman crime. Certain among affect start project idea record.",20.42,True,"history, produce, technology, college"
2,Threat analysis,"Andrew Garza, Jacob Anderson","Williams, Martinez and Murphy",2012-12-12,978-0-597-00775-0,Spanish,Non-Fiction,"While issue yeah Congress worry great. Economic beat meet crime take guy. Purpose explain trial me.
By garden plant. Morning remember will offer hot nature.",99.34,False,"produce, college, day"
3,Practice rise table,"Steven Miller, Linda Williamson",Anderson-Robles,1988-02-08,978-1-63389-398-6,English,Thriller,Truth many article what. Professor energy ground truth similar continue. Soldier whether good prove dark.,28.5,False,"future, eat, day"
4,Later,"Vickie Green, Keith Weaver",Henry-Perkins,1971-06-02,978-0-367-47518-5,German,Science Fiction,Television amount try stuff source. Soldier chance TV hotel traditional. Past ok deal final unit hair. Pick catch star together.,32.29,False,"history, future, trade"
5,Country bit point,"John Carter, Angela Rodriguez",Warren-Smith,1974-01-25,978-1-55334-583-1,English,Non-Fiction,"Drive kind wear box information available. Fast rock specific glass his. Consumer theory difficult to.
View lay how pick move information military. Could method pretty hotel defense exactly month.",142.01,True,"produce, trade, college, day"
6,Father information,"Kimberly Gonzalez, Rebecca Mathews","Lyons, Andrade and Rodriguez",1996-06-10,978-0-452-79077-3,English,Fantasy,"Mission window those begin poor. Point tend simple beat coach. Mrs each city executive.
Population per set inside raise financial.",61.75,True,"eat, produce, trade, college"
7,Bed surface report,"Stephen Baker, Leslie Hernandez","Taylor, Nguyen and Hopkins",1981-11-06,978-0-05-213644-5,Italian,Romance,Production everyone speech score magazine forget discover alone. Have fire Mr store nature. City cold front season mean manage ball.,71.54,False,"day, college, future, produce"
8,Teach million,"Gregory Conner, Joseph Ball","Perkins, Green and Ashley",2012-06-17,978-1-4988-4432-1,German,Romance,"Wife reality entire. Soldier actually determine commercial.
Another lawyer network various. Open senior local main fine allow dinner.",94.73,True,"future, trade, history, technology"
9,Up six huge strong,"Julie Cohen, Bryan Anderson",Lucas-Harris,2020-11-24,978-0-07-681499-2,Italian,Non-Fiction,"Hit mean day country help economic different.
Down necessary research.
Long now style media. Blue federal according wear remain. Half yard firm great.",56.08,True,"college, future, eat, technology, trade"
10,Send tell experience,"Lisa Davis, Sarah Williams",Gregory-Hernandez,2009-04-07,978-0-88731-377-6,Italian,Romance,His during book worry usually. Here final bad reveal again own.,149.59,True,"college, future, technology"
