id,title,authors,publisher,publication_date,isbn,language,genre,description,price,available,keywords
89123456,Deep Space,"John Doe, Alice Smith",HarperCollins,2001-02-02,978-0-938214-01-1,English,Mystery,A thrilling adventure through time and space.,51.1,False,"mystery, adventure, book, fantasy"
2,Mysterious Ways,Michael Brown,Penguin Books,2002-03-03,978-0-938214-02-2,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,52.2,True,"science, technology, future, AI"
3,Silent Echoes,Emily Davis,Random House,2003-04-04,978-0-938214-03-3,German,Non-Fiction,Echoes of silence fill the vast emptiness.,53.3,False,"history, war, politics, economy"
4,Burning Skies,Chris Johnson,Simon & Schuster,2004-05-05,978-0-938214-04-4,Italian,Thriller,The sky burns with untold secrets.,54.4,True,"romance, love, passion, drama"
5,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2005-06-06,978-0-938214-05-5,French,Fiction,Summer brother yeah quickly role compare exist.,55.5,False,"college, eat, trade, produce, day"
6,Deep Space,"John Doe, Alice Smith",HarperCollins,2006-07-07,978-0-938214-06-6,English,Mystery,A thrilling adventure through time and space.,56.6,True,"mystery, adventure, book, fantasy"
7,Mysterious Ways,Michael Brown,Penguin Books,2007-08-08,978-0-938214-07-7,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,57.7,False,"science, technology, future, AI"
8,Silent Echoes,Emily Davis,Random House,2008-09-09,978-0-938214-08-8,German,Non-Fiction,Echoes of silence fill the vast emptiness.,58.8,True,"history, war, politics, economy"
9,Burning Skies,Chris Johnson,Simon & Schuster,2009-10-10,978-0-938214-09-9,Italian,Thriller,The sky burns with untold secrets.,59.9,False,"romance, love, passion, drama"
10,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2010-11-11,978-0-938214-10-0,French,Fiction,Summer brother yeah quickly role compare exist.,61.0,True,"college, eat, trade, produce, day"
11,Deep Space,"John Doe, Alice Smith",HarperCollins,2011-12-12,978-0-938214-11-1,English,Mystery,A thrilling adventure through time and space.,62.1,False,"mystery, adventure, book, fantasy"
